Title,Price,Capacity,Country,Unit,Characteristics,Quantity,Type,ABV,Vintage
Jas des Vignes Rosé Méditerranée 2021/22,11.99,75.0,France,9.8,"Strawberry, Peach, Raspberry",per bottle,Rosé,13.0,2022
"The Gathering Storm Red 2022, Spain",7.99,75.0,Spain,9.0,-,per bottle,Red,12.0,2022
"Peyrassol ‘Les Commandeurs’ Organic Rosé, Côtes de Provence 2022",18.99,75.0,France,9.8,"Citrus Fruit, Red Fruit, Mineral",per bottle,Rosé,13.0,2022
"Abbotts & Delaunay 'Les Fleurs Sauvages' Viognier 2021/22, Languedoc",11.99,75.0,France,10.1,"Peach, Apricot, Blossom",per bottle,White,13.5,2022
"Beato Bartolomeo Pinot Grigio Superiore, Breganze DOC 2022",9.99,75.0,Italy,9.4,"Lime, Floral, Lemon",per bottle,White,12.5,2022
"Nyetimber Brut Rosé, Sussex",49.99,75.0,England,9.0,"Red Fruit, Pastry, Raspberry",per bottle,Rosé,12.0,Non-Vintage
"Brancott Estate Sauvignon Blanc 2022, Marlborough",12.49,75.0,New Zealand,10.1,"Grass, Green Apple, Green Bell Pepper, Lemon, Tropical Fruit",per bottle,White,13.5,2022
Cave de Lugny 'Les Chenaudières' Bourgogne Chardonnay 2022,14.99,75.0,France,9.8,"Vanilla, Butter, Lemon, Peach",per bottle,White,13.0,2022
"The Guv'nor Rosé, Spain",8.99,75.0,Spain,9.8,"Nectarine, Raspberry, Strawberry",per bottle,Rosé,13.0,Non-Vintage
"Chapel Down English Sparkling Rosé, Kent",29.99,75.0,England,9.0,"Strawberry, Raspberry, Red Fruit",per bottle,Rosé,12.0,Non-Vintage
Heidsieck & Co. Monopole 'Bronze Top' Brut Champagne,29.99,75.0,France,9.4,"Pear, Bread, Citrus Fruit",per bottle,White,12.5,Non-Vintage
"Viñalba 'Reserve' Malbec 2020/21, Mendoza",12.99,75.0,Argentina,10.9,"Violet, Black Fruit, Red Fruit, Ripe Fruit, Vanilla",per bottle,Red,14.5,2020/21
La Raia 'Il Borgo' Organic Gavi 2021,14.99,75.0,Italy,9.8,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",per bottle,White,13.0,2021
"La Marca Extra Dry Prosecco, Conegliano Valdobbiadene DOCG",14.99,75.0,Italy,8.3,"Pear, Citrus Fruit, Floral, Green Apple",per bottle,White,11.0,2021
"Les Vignobles Foncalieu 'Vallée des Pins' Rosé 2021/22, Coteaux d'Aix-en-Provence",11.99,75.0,France,9.4,"Strawberry, Peach, Raspberry",per bottle,Rosé,12.5,2022
Château Recougne Bordeaux Supérieur 2019/20,12.99,75.0,France,10.9,"Smoke, Blackberry, Red Plum",per bottle,Red,14.5,2020
